date,state,city,dead,confirmed,day
2020-04-04,RJ,Petrópolis/RJ,1,13,30
2020-04-04,RJ,Porciúncula/RJ,0,1,30
2020-04-04,RJ,Queimados/RJ,0,2,30
2020-04-04,RJ,Resende/RJ,0,2,30
2020-04-04,RJ,Rio Bonito/RJ,1,2,30
2020-04-04,RJ,Rio das Ostras/RJ,1,3,30
2020-04-04,RJ,Rio de Janeiro/RJ,38,982,30
2020-04-04,RJ,Seropédica/RJ,0,1,30
2020-04-04,RJ,São Gonçalo/RJ,1,10,30
2020-04-04,RJ,São João de Meriti/RJ,1,4,30
2020-04-04,RJ,São Pedro da Aldeia/RJ,0,1,30
2020-04-04,RJ,Teresópolis/RJ,0,4,30
2020-04-04,RJ,Três Rios/RJ,0,1,30
2020-04-04,RJ,Valença/RJ,0,2,30
2020-04-04,RJ,Volta Redonda/RJ,2,45,30
2020-04-05,RJ,Angra dos Reis/RJ,0,3,31
2020-04-05,RJ,Araruama/RJ,0,1,31
2020-04-05,RJ,Arraial do Cabo/RJ,1,1,31
2020-04-05,RJ,Barra Mansa/RJ,0,3,31
2020-04-05,RJ,Barra do Piraí/RJ,0,2,31
2020-04-05,RJ,Belford Roxo/RJ,2,15,31
2020-04-05,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,1,31
2020-04-05,RJ,Campos dos Goytacazes/RJ,0,2,31
2020-04-05,RJ,Duque de Caxias/RJ,3,20,31
2020-04-05,RJ,Guapimirim/RJ,0,2,31
2020-04-05,RJ,Iguaba Grande/RJ,0,1,31
2020-04-05,RJ,Itaboraí/RJ,1,14,31
2020-04-05,RJ,Itaguaí/RJ,0,2,31
2020-04-05,RJ,Itaperuna/RJ,0,1,31
2020-04-05,RJ,Macaé/RJ,0,6,31
2020-04-05,RJ,Magé/RJ,0,5,31
2020-04-05,RJ,Mangaratiba/RJ,0,2,31
2020-04-05,RJ,Maricá/RJ,1,8,31
2020-04-05,RJ,Mesquita/RJ,1,5,31
2020-04-05,RJ,Miguel Pereira/RJ,1,1,31
2020-04-05,RJ,Nilópolis/RJ,0,4,31
2020-04-05,RJ,Niterói/RJ,2,87,31
2020-04-05,RJ,Nova Friburgo/RJ,0,2,31
2020-04-05,RJ,Nova Iguaçu/RJ,2,29,31
2020-04-05,RJ,Paraíba do Sul/RJ,0,2,31
2020-04-05,RJ,Petrópolis/RJ,1,13,31
2020-04-05,RJ,Porciúncula/RJ,0,1,31
2020-04-05,RJ,Queimados/RJ,0,2,31
2020-04-05,RJ,Resende/RJ,0,2,31
2020-04-05,RJ,Rio Bonito/RJ,2,2,31
2020-04-05,RJ,Rio das Ostras/RJ,1,3,31
2020-04-05,RJ,Rio de Janeiro/RJ,42,1068,31
2020-04-05,RJ,Seropédica/RJ,0,1,31
2020-04-05,RJ,São Gonçalo/RJ,1,13,31
2020-04-05,RJ,São João da Barra/RJ,0,1,31
2020-04-05,RJ,São João de Meriti/RJ,1,10,31
2020-04-05,RJ,São Pedro da Aldeia/RJ,0,2,31
2020-04-05,RJ,Tanguá/RJ,0,1,31
2020-04-05,RJ,Teresópolis/RJ,0,7,31
2020-04-05,RJ,Trajano de Moraes/RJ,0,1,31
2020-04-05,RJ,Três Rios/RJ,0,1,31
2020-04-05,RJ,Valença/RJ,0,2,31
2020-04-05,RJ,Volta Redonda/RJ,2,45,31
2020-04-06,RJ,Angra dos Reis/RJ,0,3,32
2020-04-06,RJ,Araruama/RJ,0,1,32
2020-04-06,RJ,Arraial do Cabo/RJ,1,1,32
2020-04-06,RJ,Barra Mansa/RJ,0,3,32
2020-04-06,RJ,Barra do Piraí/RJ,0,2,32
2020-04-06,RJ,Belford Roxo/RJ,3,14,32
2020-04-06,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,1,32
2020-04-06,RJ,Campos dos Goytacazes/RJ,0,2,32
2020-04-06,RJ,Duque de Caxias/RJ,3,21,32
2020-04-06,RJ,Guapimirim/RJ,0,2,32
2020-04-06,RJ,Iguaba Grande/RJ,0,1,32
2020-04-06,RJ,Itaboraí/RJ,2,14,32
2020-04-06,RJ,Itaguaí/RJ,0,3,32
2020-04-06,RJ,Itaperuna/RJ,0,2,32
2020-04-06,RJ,Macaé/RJ,0,6,32
2020-04-06,RJ,Magé/RJ,0,5,32
2020-04-06,RJ,Mangaratiba/RJ,0,2,32
2020-04-06,RJ,Maricá/RJ,1,8,32
2020-04-06,RJ,Mesquita/RJ,1,6,32
2020-04-06,RJ,Miguel Pereira/RJ,1,1,32
2020-04-06,RJ,Nilópolis/RJ,0,4,32
2020-04-06,RJ,Niterói/RJ,2,92,32
2020-04-06,RJ,Nova Friburgo/RJ,0,4,32
2020-04-06,RJ,Nova Iguaçu/RJ,2,29,32
2020-04-06,RJ,Paraíba do Sul/RJ,0,2,32
2020-04-06,RJ,Petrópolis/RJ,1,16,32
2020-04-06,RJ,Porciúncula/RJ,0,1,32
2020-04-06,RJ,Queimados/RJ,0,4,32
2020-04-06,RJ,Resende/RJ,0,3,32
2020-04-06,RJ,Rio Bonito/RJ,2,2,32
